City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,ambanja,-13.6833,48.45,297.55,93,100,1.16,MG,1675707709
338,mehamn,71.0357,27.8492,275.12,93,75,16.98,NO,1675707710
339,anadyr,64.75,177.4833,245.43,75,75,6.0,RU,1675707299
340,san quintin,30.4833,-115.95,288.07,52,36,7.08,MX,1675707600
341,larsnes,62.2028,5.5773,282.48,85,100,4.98,NO,1675707710
342,lima,-12.0432,-77.0282,299.29,65,0,8.23,PE,1675707571
343,namibe,-15.1961,12.1522,295.32,78,78,4.51,AO,1675707205
344,broome,42.2506,-75.833,276.4,83,100,5.14,US,1675707360
345,finschhafen,-6.6024,147.8681,299.02,89,100,4.25,PG,1675707710
346,kintampo,8.0563,-1.7306,308.14,19,43,2.24,GH,1675707711
347,pitkyaranta,61.5734,31.4792,261.2,97,63,2.3,RU,1675707711
348,tamandare,-8.7597,-35.1047,300.84,67,98,4.87,BR,1675707711
349,ciudad real,39.0,-4.0,279.85,75,3,4.92,ES,1675707529
350,punto fijo,11.6956,-70.1996,301.14,62,17,13.02,VE,1675707712
351,kandrian,-6.2167,149.55,298.55,88,100,2.29,PG,1675707712
352,abonnema,4.7084,6.7931,301.18,72,61,5.97,NG,1675707712
353,kibungo,-2.1597,30.5427,294.66,66,85,0.92,RW,1675707713
354,fare,-16.7,-151.0167,300.32,75,2,7.5,PF,1675707478
355,lahaina,20.8783,-156.6825,297.49,91,10,4.31,US,1675707478
356,faanui,-16.4833,-151.75,300.6,74,4,7.94,PF,1675707338
357,sibi,29.5448,67.8764,293.16,18,1,4.2,PK,1675707713
358,mayo,38.8876,-76.5119,284.48,54,100,6.17,US,1675707713
359,juan diaz,8.4667,-80.2833,306.73,49,59,7.53,PA,1675707714
360,edd,13.9297,41.6925,300.68,55,84,9.11,ER,1675707714
361,kathu,7.9178,98.3332,298.05,77,97,4.27,TH,1675707715
362,gwadar,25.1216,62.3254,295.02,65,1,4.35,PK,1675707715
363,winterberg,51.2,8.5333,271.54,94,65,2.82,DE,1675707715
